ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
D13021,"-23,01547","-43,51869",1780399285000,46,817,1780399297000,1780399325000,2026-06-02 09:21:55
D13239,"-22,97389","-43,36275",1780399285000,57,880,1780399297000,1780399325000,2026-06-02 09:21:55
D13161,"-22,91558","-43,36118",1780399285000,0,878,1780399297000,1780399325000,2026-06-02 09:21:55
D13329,"-22,93905","-43,34447",1780399285000,0,878,1780399297000,1780399325000,2026-06-02 09:21:55
C47758,"-22,94182","-43,18118",1780398810000,16,319,1780399297000,1780399325000,2026-06-02 09:21:55
C47531,"-22,97768","-43,19268",1780399284000,39,554,1780399297000,1780399325000,2026-06-02 09:21:55
C47741,"-22,91744","-43,27996",1780399260000,42,390,1780399297000,1780399325000,2026-06-02 09:21:55
C47474,"-22,93678","-43,37068",1780399285000,0,611,1780399297000,1780399325000,2026-06-02 09:21:55
C47527,"-23,0006","-43,34129",1780399286000,5,554,1780399297000,1780399325000,2026-06-02 09:21:55
C47557,"-22,91186","-43,23405",1780399287000,10,353,1780399297000,1780399325000,2026-06-02 09:21:55
C30056,"-22,96573","-43,33571",1780399286000,31,343,1780399297000,1780399325000,2026-06-02 09:21:55
D13160,"-22,94217","-43,34133",1780399286000,0,878,1780399297000,1780399325000,2026-06-02 09:21:55
D13290,"-22,98449","-43,3661",1780399286000,0,880,1780399297000,1780399325000,2026-06-02 09:21:55
C47608,"-22,8851","-43,29854",1780399285000,37,692,1780399297000,1780399325000,2026-06-02 09:21:55
C47530,"-22,95219","-43,34848",1780399286000,1,390,1780399297000,1780399325000,2026-06-02 09:21:55
C30194,"-22,98838","-43,30182",1780399287000,8,SPB550,1780399297000,1780399325000,2026-06-02 09:21:55
D13333,"-22,94567","-43,36324",1780399286000,0,861,1780399297000,1780399325000,2026-06-02 09:21:55
C47780,"-22,9335","-43,34573",1780399286000,12,SV692,1780399297000,1780399325000,2026-06-02 09:21:55
C47572,"-23,00113","-43,3314",1780399284000,31,553,1780399297000,1780399325000,2026-06-02 09:21:55
C47758,"-22,94156","-43,18152",1780398840000,6,319,1780399297000,1780399325000,2026-06-02 09:21:55
C30146,"-23,00702","-43,30285",1780399286000,28,343,1780399297000,1780399325000,2026-06-02 09:21:55
D13265,"-22,95195","-43,34317",1780399287000,20,829,1780399297000,1780399325000,2026-06-02 09:21:55
C13058,"-22,96502","-43,33561",1780399286000,19,863,1780399297000,1780399325000,2026-06-02 09:21:55
C47579,"-22,99959","-43,36927",1780399285000,56,553,1780399297000,1780399325000,2026-06-02 09:21:55
C47739,"-22,92742","-43,36124",1780399287000,4,691,1780399297000,1780399325000,2026-06-02 09:21:55
C30197,"-22,8933","-43,34871",1780399286000,0,766,1780399297000,1780399325000,2026-06-02 09:21:55
C47973,"-22,89315","-43,34893",1780399287000,0,2111,1780399297000,1780399325000,2026-06-02 09:21:55
D13369,"-22,93869","-43,34589",1780399287000,3,601,1780399297000,1780399325000,2026-06-02 09:21:55
C30196,"-22,93884","-43,34497",1780399286000,0,766,1780399297000,1780399325000,2026-06-02 09:21:55
D13051,"-22,92783","-43,3585",1780399287000,1,601,1780399297000,1780399325000,2026-06-02 09:21:55
C47991,"-22,90088","-43,17852",1780399286000,0,2112,1780399297000,1780399325000,2026-06-02 09:21:55
C30010,"-22,88206","-43,32594",1780399288000,14,766,1780399297000,1780399325000,2026-06-02 09:21:55
C47949,"-22,87543","-43,27396",1780399288000,39,2614,1780399297000,1780399325000,2026-06-02 09:21:55
C30023,"-23,0027","-43,36635",1780399288000,38,565,1780399297000,1780399325000,2026-06-02 09:21:55
C47559,"-23,01089","-43,51835",1780399286000,48,554,1780399297000,1780399325000,2026-06-02 09:21:55
C30025,"-23,00862","-43,28651",1780399287000,58,565,1780399297000,1780399325000,2026-06-02 09:21:55
C47755,"-22,95205","-43,34843",1780399286000,0,390,1780399297000,1780399325000,2026-06-02 09:21:55
C47536,"-22,95056","-43,17894",1780399287000,23,552,1780399297000,1780399325000,2026-06-02 09:21:55
D13176,"-22,93868","-43,34583",1780399288000,0,878,1780399297000,1780399325000,2026-06-02 09:21:55
C47514,"-22,8982","-43,3528",1780399287000,11,306,1780399297000,1780399325000,2026-06-02 09:21:55
D13053,"-22,91635","-43,27267",1780399286000,52,601,1780399297000,1780399325000,2026-06-02 09:21:55
C30373,"-23,01757","-43,47793",1780399287000,29,954,1780399297000,1780399325000,2026-06-02 09:21:55
C30017,"-22,92725","-43,36027",1780399288000,4,610,1780399297000,1780399325000,2026-06-02 09:21:55
C47928,"-22,89535","-43,30061",1780399287000,46,2613,1780399297000,1780399325000,2026-06-02 09:21:55
D13276,"-23,00831","-43,3038",1780399286000,23,SV863,1780399297000,1780399325000,2026-06-02 09:21:55
C47640,"-22,98285","-43,36607",1780399285000,25,361,1780399297000,1780399325000,2026-06-02 09:21:55
D13267,"-22,97241","-43,33671",1780399287000,25,861,1780399297000,1780399325000,2026-06-02 09:21:55
C30015,"-22,92371","-43,36917",1780399287000,12,610,1780399297000,1780399325000,2026-06-02 09:21:55
C47785,"-22,92622","-43,3713",1780399288000,0,390,1780399297000,1780399325000,2026-06-02 09:21:55
C47787,"-22,97351","-43,3912",1780399287000,8,613,1780399297000,1780399325000,2026-06-02 09:21:55
D13162,"-22,98765","-43,30948",1780399288000,0,878,1780399297000,1780399325000,2026-06-02 09:21:55
D13339,"-22,95575","-43,35322",1780399288000,21,861,1780399297000,1780399326000,2026-06-02 09:21:55
C30239,"-23,0055","-43,28251",1780399287000,27,557,1780399297000,1780399326000,2026-06-02 09:21:55
D13037,"-22,91814","-43,36095",1780399287000,0,878,1780399297000,1780399326000,2026-06-02 09:21:55
C47483,"-23,00041","-43,40195",1780399286000,0,361,1780399297000,1780399326000,2026-06-02 09:21:55
C47467,"-22,99527","-43,35966",1780399288000,0,691,1780399297000,1780399326000,2026-06-02 09:21:55
D13210,"-22,87861","-43,42893",1780399289000,7,803,1780399297000,1780399326000,2026-06-02 09:21:55
C30236,"-22,93859","-43,34669",1780399288000,9,766,1780399297000,1780399326000,2026-06-02 09:21:55
C30032,"-22,99271","-43,36555",1780399289000,36,565,1780399297000,1780399326000,2026-06-02 09:21:55
C47517,"-22,90423","-43,18787",1780399287000,5,348,1780399297000,1780399326000,2026-06-02 09:21:55
C30053,"-22,94666","-43,33982",1780399289000,0,343,1780399297000,1780399326000,2026-06-02 09:21:55
D13226,"-22,90619","-43,27009",1780399288000,11,636,1780399297000,1780399326000,2026-06-02 09:21:55
D13281,"-22,88858","-43,29432",1780399228000,69,611,1780399297000,1780399326000,2026-06-02 09:21:55
C30214,"-22,92267","-43,37432",1780399288000,14,900,1780399297000,1780399326000,2026-06-02 09:21:55
C30027,"-22,97854","-43,41796",1780399288000,41,954,1780399297000,1780399326000,2026-06-02 09:21:55
C47526,"-22,92594","-43,35682",1780399252000,7,390,1780399297000,1780399326000,2026-06-02 09:21:55
C47472,"-23,02487","-43,45734",1780399288000,20,361,1780399297000,1780399326000,2026-06-02 09:21:55
C30091,"-22,95345","-43,35603",1780399289000,0,550,1780399297000,1780399326000,2026-06-02 09:21:55
C47983,"-22,90476","-43,18911",1780399288000,22,2110,1780399297000,1780399326000,2026-06-02 09:21:55
C47532,"-23,01786","-43,46",1780399287000,37,553,1780399297000,1780399326000,2026-06-02 09:21:55
C30232,"-22,87088","-43,24635",1780399288000,19,343,1780399297000,1780399326000,2026-06-02 09:21:55
