ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
D13025,-22.87886,-43.42566,2026-06-02 08:30:07-03:00,18,803,2026-06-02 08:30:09-03:00,2026-06-02 08:30:22-03:00,2026-06-02 09:21:55,2026-06-02,8,30,Tuesday,2.0,13.0
D13238,-22.94684,-43.36124,2026-06-02 09:09:53-03:00,0,861,2026-06-02 09:10:01-03:00,2026-06-02 09:10:27-03:00,2026-06-02 09:21:55,2026-06-02,9,9,Tuesday,8.0,26.0
C30057,-23.01283,-43.4626,2026-06-02 09:02:26-03:00,25,954,2026-06-02 09:02:36-03:00,2026-06-02 09:02:45-03:00,2026-06-02 09:21:55,2026-06-02,9,2,Tuesday,10.0,9.0
C47808,-22.90171,-43.19008,2026-06-02 08:41:40-03:00,11,SV319,2026-06-02 08:41:48-03:00,2026-06-02 08:42:12-03:00,2026-06-02 09:21:55,2026-06-02,8,41,Tuesday,8.0,24.0
A71578,-22.94922,-43.18372,2026-06-02 08:51:55-03:00,0,409,2026-06-02 08:52:05-03:00,2026-06-02 08:52:16-03:00,2026-06-02 09:21:55,2026-06-02,8,51,Tuesday,10.0,11.0
D86228,-22.95556,-43.60714,2026-06-02 09:07:01-03:00,24,852,2026-06-02 09:07:09-03:00,2026-06-02 09:07:29-03:00,2026-06-02 09:21:55,2026-06-02,9,7,Tuesday,8.0,20.0
C47585,-22.90726,-43.30991,2026-06-02 09:17:22-03:00,15,691,2026-06-02 09:17:25-03:00,2026-06-02 09:17:39-03:00,2026-06-02 09:21:55,2026-06-02,9,17,Tuesday,3.0,14.0
B25573,-22.92514,-43.24409,2026-06-02 09:12:16-03:00,16,606,2026-06-02 09:12:20-03:00,2026-06-02 09:12:32-03:00,2026-06-02 09:21:55,2026-06-02,9,12,Tuesday,4.0,12.0
C72066,-22.91263,-43.19044,2026-06-02 09:11:43-03:00,0,LECD134,2026-06-02 09:12:26-03:00,2026-06-02 09:12:52-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,43.0,26.0
B27104,-22.92331,-43.23475,2026-06-02 09:20:53-03:00,0,630,2026-06-02 09:20:57-03:00,2026-06-02 09:21:12-03:00,2026-06-02 09:21:55,2026-06-02,9,20,Tuesday,4.0,15.0
C47733,-22.90499,-43.30465,2026-06-02 08:32:05-03:00,47,692,2026-06-02 08:39:20-03:00,2026-06-02 08:39:37-03:00,2026-06-02 09:21:55,2026-06-02,8,32,Tuesday,435.0,17.0
B25505,-22.90321,-43.18546,2026-06-02 09:12:23-03:00,0,232,2026-06-02 09:12:30-03:00,2026-06-02 09:12:32-03:00,2026-06-02 09:21:55,2026-06-02,9,12,Tuesday,7.0,2.0
B27246,-22.87993,-43.26859,2026-06-02 09:04:55-03:00,1,629,2026-06-02 09:05:06-03:00,2026-06-02 09:05:19-03:00,2026-06-02 09:21:55,2026-06-02,9,4,Tuesday,11.0,13.0
D86145,-22.96964,-43.58858,2026-06-02 09:02:35-03:00,31,867,2026-06-02 09:02:45-03:00,2026-06-02 09:02:51-03:00,2026-06-02 09:21:55,2026-06-02,9,2,Tuesday,10.0,6.0
